game_id,country_code,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,main_7,bonus_1,bonus_2
jp_loto6,JP,2023-05-22,181,24,29,32,35,36,40,,39,
jp_loto6,JP,2023-05-18,180,1,6,14,15,23,24,,42,
jp_loto6,JP,2023-05-15,179,1,4,16,31,32,41,,30,
jp_loto6,JP,2023-05-11,178,8,9,18,19,30,36,,17,
jp_loto6,JP,2023-05-08,177,6,14,18,22,29,30,,36,
jp_loto6,JP,2023-05-04,176,6,9,16,26,29,34,,36,
jp_loto6,JP,2023-05-01,175,3,14,16,19,26,39,,9,
jp_loto6,JP,2023-04-27,174,2,13,17,19,41,43,,1,
jp_loto6,JP,2023-04-24,173,2,5,6,26,33,35,,13,
jp_loto6,JP,2023-04-20,172,4,11,24,35,37,42,,7,
jp_loto6,JP,2023-04-17,171,3,19,30,32,36,40,,42,
jp_loto6,JP,2023-04-13,170,5,14,19,23,30,42,,35,
jp_loto6,JP,2023-04-10,169,7,31,32,36,39,42,,34,
jp_loto6,JP,2023-04-06,168,10,18,32,39,41,42,,12,
jp_loto6,JP,2023-04-03,167,1,5,19,26,35,37,,32,
jp_loto6,JP,2023-03-30,166,11,13,20,33,35,40,,34,
jp_loto6,JP,2023-03-27,165,9,19,24,25,26,39,,34,
jp_loto6,JP,2023-03-23,164,5,16,19,21,30,35,,11,
jp_loto6,JP,2023-03-20,163,5,11,18,25,33,38,,32,
jp_loto6,JP,2023-03-16,162,4,5,9,26,27,29,,43,
jp_loto6,JP,2023-03-13,161,17,18,26,30,36,40,,3,
jp_loto6,JP,2023-03-09,160,12,21,22,27,31,32,,20,
jp_loto6,JP,2023-03-06,159,5,21,22,30,32,36,,16,
jp_loto6,JP,2023-03-02,158,3,6,12,16,31,42,,40,
jp_loto6,JP,2023-02-27,157,1,11,18,24,37,43,,28,
jp_loto6,JP,2023-02-23,156,4,11,15,19,28,32,,34,
jp_loto6,JP,2023-02-20,155,6,21,30,32,39,40,,34,
jp_loto6,JP,2023-02-16,154,7,15,17,21,32,35,,43,
jp_loto6,JP,2023-02-13,153,16,19,25,26,35,43,,38,
jp_loto6,JP,2023-02-09,152,1,10,15,19,20,32,,6,
jp_loto6,JP,2023-02-06,151,16,21,26,31,39,42,,41,
jp_loto6,JP,2023-02-02,150,2,6,20,30,31,41,,11,
jp_loto6,JP,2023-01-30,149,1,6,7,20,37,40,,10,
jp_loto6,JP,2023-01-26,148,5,7,13,21,23,30,,42,
jp_loto6,JP,2023-01-23,147,8,14,18,38,39,42,,30,
jp_loto6,JP,2023-01-19,146,1,10,25,27,28,33,,15,
jp_loto6,JP,2023-01-16,145,7,14,28,32,42,43,,17,
jp_loto6,JP,2023-01-12,144,6,12,15,35,36,39,,42,
jp_loto6,JP,2023-01-09,143,19,25,29,36,37,41,,2,
jp_loto6,JP,2023-01-05,142,4,11,13,26,27,36,,15,
jp_loto6,JP,2022-12-29,141,3,6,7,19,35,39,,21,
jp_loto6,JP,2022-12-26,140,1,2,4,9,22,25,,38,
jp_loto6,JP,2022-12-22,139,2,5,15,20,22,36,,8,
jp_loto6,JP,2022-12-19,138,1,12,21,24,29,42,,32,
jp_loto6,JP,2022-12-15,137,3,15,18,21,34,40,,1,
jp_loto6,JP,2022-12-12,136,1,4,13,17,31,34,,18,
